timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 22:56:32.687, NVIDIA GeForce RTX 3080, 100 %, 74 %, 5115 MiB, 10240 MiB, 71, 304.84 W
2025/12/18 22:56:33.687, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5115 MiB, 10240 MiB, 71, 307.02 W
2025/12/18 22:56:34.687, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 306.50 W
2025/12/18 22:56:35.687, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 72, 305.57 W
2025/12/18 22:56:36.688, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5115 MiB, 10240 MiB, 72, 307.83 W
2025/12/18 22:56:37.688, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5119 MiB, 10240 MiB, 72, 304.38 W
2025/12/18 22:56:38.688, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 72, 306.88 W
2025/12/18 22:56:39.688, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 72, 305.69 W
2025/12/18 22:56:40.688, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 72, 306.66 W
2025/12/18 22:56:41.688, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 305.99 W
2025/12/18 22:56:42.689, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 72, 307.20 W
2025/12/18 22:56:43.689, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5115 MiB, 10240 MiB, 72, 306.36 W
2025/12/18 22:56:44.689, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 72, 307.04 W
2025/12/18 22:56:45.689, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5115 MiB, 10240 MiB, 72, 307.83 W
2025/12/18 22:56:46.689, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 306.02 W
2025/12/18 22:56:47.689, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 307.68 W
2025/12/18 22:56:48.689, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5115 MiB, 10240 MiB, 72, 306.90 W
2025/12/18 22:56:49.690, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 72, 307.58 W
2025/12/18 22:56:50.690, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 72, 307.49 W
2025/12/18 22:56:51.690, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 72, 306.10 W
2025/12/18 22:56:52.690, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 306.51 W
2025/12/18 22:56:53.690, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 72, 305.83 W
2025/12/18 22:56:54.690, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 73, 305.72 W
2025/12/18 22:56:55.691, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 72, 306.24 W
2025/12/18 22:56:56.691, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 72, 309.29 W
2025/12/18 22:56:57.691, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 73, 305.87 W
2025/12/18 22:56:58.691, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 306.74 W
2025/12/18 22:56:59.691, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 307.75 W
2025/12/18 22:57:00.691, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5115 MiB, 10240 MiB, 72, 306.11 W
2025/12/18 22:57:01.692, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5115 MiB, 10240 MiB, 73, 307.21 W
2025/12/18 22:57:02.692, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 73, 307.77 W
2025/12/18 22:57:03.692, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 305.63 W
2025/12/18 22:57:04.692, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 308.58 W
2025/12/18 22:57:05.692, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 73, 306.94 W
2025/12/18 22:57:06.692, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5115 MiB, 10240 MiB, 73, 306.37 W
2025/12/18 22:57:07.693, NVIDIA GeForce RTX 3080, 100 %, 73 %, 5115 MiB, 10240 MiB, 73, 305.81 W
2025/12/18 22:57:08.693, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5115 MiB, 10240 MiB, 73, 306.15 W
2025/12/18 22:57:09.693, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5115 MiB, 10240 MiB, 73, 307.26 W
2025/12/18 22:57:10.693, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5115 MiB, 10240 MiB, 73, 305.97 W
2025/12/18 22:57:11.693, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5115 MiB, 10240 MiB, 73, 307.40 W
2025/12/18 22:57:12.693, NVIDIA GeForce RTX 3080, 100 %, 74 %, 5115 MiB, 10240 MiB, 73, 305.99 W
2025/12/18 22:57:13.693, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 73, 305.32 W
2025/12/18 22:57:14.694, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 74, 306.29 W
2025/12/18 22:57:15.694, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5115 MiB, 10240 MiB, 73, 307.35 W
2025/12/18 22:57:16.694, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5115 MiB, 10240 MiB, 73, 305.43 W
2025/12/18 22:57:17.694, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 73, 307.25 W
2025/12/18 22:57:18.694, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5115 MiB, 10240 MiB, 74, 305.65 W
2025/12/18 22:57:19.694, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5115 MiB, 10240 MiB, 73, 304.95 W
2025/12/18 22:57:20.695, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 305.92 W
2025/12/18 22:57:21.695, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 307.61 W
2025/12/18 22:57:22.695, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5115 MiB, 10240 MiB, 73, 306.29 W
2025/12/18 22:57:23.695, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5115 MiB, 10240 MiB, 73, 306.39 W
2025/12/18 22:57:24.695, NVIDIA GeForce RTX 3080, 100 %, 72 %, 5115 MiB, 10240 MiB, 73, 306.36 W
2025/12/18 22:57:25.695, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 73, 303.04 W
2025/12/18 22:57:26.695, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5115 MiB, 10240 MiB, 73, 307.75 W
2025/12/18 22:57:27.696, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5115 MiB, 10240 MiB, 74, 305.20 W
2025/12/18 22:57:28.696, NVIDIA GeForce RTX 3080, 100 %, 67 %, 5115 MiB, 10240 MiB, 73, 305.72 W
2025/12/18 22:57:29.696, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5179 MiB, 10240 MiB, 73, 303.38 W
2025/12/18 22:57:30.696, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5179 MiB, 10240 MiB, 73, 301.98 W
2025/12/18 22:57:31.696, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5179 MiB, 10240 MiB, 74, 307.24 W
2025/12/18 22:57:32.696, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5179 MiB, 10240 MiB, 74, 305.72 W
2025/12/18 22:57:33.697, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5179 MiB, 10240 MiB, 74, 307.02 W
2025/12/18 22:57:34.697, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5179 MiB, 10240 MiB, 74, 305.08 W
2025/12/18 22:57:35.697, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5179 MiB, 10240 MiB, 74, 306.14 W
2025/12/18 22:57:36.697, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5179 MiB, 10240 MiB, 73, 306.17 W
2025/12/18 22:57:37.697, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5179 MiB, 10240 MiB, 74, 306.47 W
2025/12/18 22:57:38.697, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5195 MiB, 10240 MiB, 74, 307.12 W
2025/12/18 22:57:39.697, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5195 MiB, 10240 MiB, 73, 304.73 W
2025/12/18 22:57:40.698, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5195 MiB, 10240 MiB, 73, 306.78 W
2025/12/18 22:57:41.698, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5416 MiB, 10240 MiB, 74, 306.86 W
