timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:19:08.329, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2987 MiB, 10240 MiB, 69, 312.18 W
2025/12/18 20:19:09.329, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2987 MiB, 10240 MiB, 69, 312.88 W
2025/12/18 20:19:10.329, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2987 MiB, 10240 MiB, 69, 313.93 W
2025/12/18 20:19:11.330, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2988 MiB, 10240 MiB, 69, 313.54 W
2025/12/18 20:19:12.330, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3006 MiB, 10240 MiB, 69, 312.02 W
2025/12/18 20:19:13.330, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3006 MiB, 10240 MiB, 69, 312.78 W
2025/12/18 20:19:14.330, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3005 MiB, 10240 MiB, 69, 312.02 W
2025/12/18 20:19:15.330, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3005 MiB, 10240 MiB, 69, 311.68 W
2025/12/18 20:19:16.330, NVIDIA GeForce RTX 3080, 98 %, 89 %, 3005 MiB, 10240 MiB, 69, 312.42 W
2025/12/18 20:19:17.330, NVIDIA GeForce RTX 3080, 98 %, 88 %, 3042 MiB, 10240 MiB, 70, 310.16 W
2025/12/18 20:19:18.331, NVIDIA GeForce RTX 3080, 98 %, 78 %, 3041 MiB, 10240 MiB, 70, 311.57 W
2025/12/18 20:19:19.331, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3018 MiB, 10240 MiB, 70, 311.27 W
2025/12/18 20:19:20.331, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3027 MiB, 10240 MiB, 70, 312.41 W
2025/12/18 20:19:21.331, NVIDIA GeForce RTX 3080, 99 %, 76 %, 3026 MiB, 10240 MiB, 70, 310.96 W
2025/12/18 20:19:22.331, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3023 MiB, 10240 MiB, 70, 312.85 W
2025/12/18 20:19:23.331, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2992 MiB, 10240 MiB, 70, 311.88 W
2025/12/18 20:19:24.331, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2993 MiB, 10240 MiB, 70, 311.74 W
2025/12/18 20:19:25.332, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2993 MiB, 10240 MiB, 70, 312.28 W
2025/12/18 20:19:26.332, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2989 MiB, 10240 MiB, 70, 313.38 W
2025/12/18 20:19:27.332, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2988 MiB, 10240 MiB, 70, 313.33 W
2025/12/18 20:19:28.332, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2980 MiB, 10240 MiB, 70, 314.86 W
2025/12/18 20:19:29.332, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2975 MiB, 10240 MiB, 70, 313.15 W
2025/12/18 20:19:30.332, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2967 MiB, 10240 MiB, 70, 311.01 W
2025/12/18 20:19:31.332, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2967 MiB, 10240 MiB, 71, 313.30 W
2025/12/18 20:19:32.333, NVIDIA GeForce RTX 3080, 99 %, 88 %, 2967 MiB, 10240 MiB, 70, 312.87 W
2025/12/18 20:19:33.333, NVIDIA GeForce RTX 3080, 98 %, 88 %, 2967 MiB, 10240 MiB, 71, 313.79 W
2025/12/18 20:19:34.333, NVIDIA GeForce RTX 3080, 98 %, 89 %, 2967 MiB, 10240 MiB, 70, 313.78 W
2025/12/18 20:19:35.333, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2967 MiB, 10240 MiB, 71, 313.38 W
2025/12/18 20:19:36.333, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2967 MiB, 10240 MiB, 71, 312.29 W
2025/12/18 20:19:37.333, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2967 MiB, 10240 MiB, 71, 311.24 W
2025/12/18 20:19:38.334, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2967 MiB, 10240 MiB, 71, 312.14 W
2025/12/18 20:19:39.334, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2968 MiB, 10240 MiB, 71, 311.79 W
2025/12/18 20:19:40.334, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2968 MiB, 10240 MiB, 71, 310.91 W
2025/12/18 20:19:41.334, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2968 MiB, 10240 MiB, 71, 310.77 W
2025/12/18 20:19:42.334, NVIDIA GeForce RTX 3080, 97 %, 81 %, 2968 MiB, 10240 MiB, 71, 310.38 W
2025/12/18 20:19:43.334, NVIDIA GeForce RTX 3080, 97 %, 82 %, 2968 MiB, 10240 MiB, 71, 310.68 W
2025/12/18 20:19:44.334, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2969 MiB, 10240 MiB, 71, 311.64 W
2025/12/18 20:19:45.335, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2968 MiB, 10240 MiB, 71, 310.62 W
2025/12/18 20:19:46.335, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2968 MiB, 10240 MiB, 71, 311.04 W
2025/12/18 20:19:47.335, NVIDIA GeForce RTX 3080, 98 %, 81 %, 2968 MiB, 10240 MiB, 71, 311.56 W
2025/12/18 20:19:48.335, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2968 MiB, 10240 MiB, 71, 311.84 W
