timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 16:31:16.270, NVIDIA GeForce RTX 3080, 100 %, 96 %, 5425 MiB, 10240 MiB, 66, 318.03 W
2025/12/18 16:31:17.270, NVIDIA GeForce RTX 3080, 100 %, 93 %, 5438 MiB, 10240 MiB, 66, 318.30 W
2025/12/18 16:31:18.270, NVIDIA GeForce RTX 3080, 100 %, 88 %, 5412 MiB, 10240 MiB, 66, 318.99 W
2025/12/18 16:31:19.270, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5390 MiB, 10240 MiB, 67, 318.77 W
2025/12/18 16:31:20.270, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5386 MiB, 10240 MiB, 67, 318.50 W
2025/12/18 16:31:21.270, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5380 MiB, 10240 MiB, 67, 318.33 W
2025/12/18 16:31:22.270, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 67, 318.43 W
2025/12/18 16:31:23.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5362 MiB, 10240 MiB, 67, 318.82 W
2025/12/18 16:31:24.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5362 MiB, 10240 MiB, 68, 318.47 W
2025/12/18 16:31:25.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5408 MiB, 10240 MiB, 68, 317.86 W
2025/12/18 16:31:26.271, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5396 MiB, 10240 MiB, 68, 318.15 W
2025/12/18 16:31:27.271, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5399 MiB, 10240 MiB, 69, 318.19 W
2025/12/18 16:31:28.271, NVIDIA GeForce RTX 3080, 100 %, 96 %, 5409 MiB, 10240 MiB, 69, 318.06 W
2025/12/18 16:31:29.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5408 MiB, 10240 MiB, 69, 319.22 W
2025/12/18 16:31:30.272, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5388 MiB, 10240 MiB, 69, 318.23 W
2025/12/18 16:31:31.272, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5375 MiB, 10240 MiB, 69, 318.66 W
2025/12/18 16:31:32.272, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5384 MiB, 10240 MiB, 69, 318.40 W
, 100 %, 100 %, 5380 MiB, 10240 MiB, 67, 318.33 W
2025/12/18 16:31:22.270, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5376 MiB, 10240 MiB, 67, 318.43 W
2025/12/18 16:31:23.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5362 MiB, 10240 MiB, 67, 318.82 W
2025/12/18 16:31:24.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5362 MiB, 10240 MiB, 68, 318.47 W
2025/12/18 16:31:25.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5408 MiB, 10240 MiB, 68, 317.86 W
2025/12/18 16:31:26.271, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5396 MiB, 10240 MiB, 68, 318.15 W
2025/12/18 16:31:27.271, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5399 MiB, 10240 MiB, 69, 318.19 W
2025/12/18 16:31:28.271, NVIDIA GeForce RTX 3080, 100 %, 96 %, 5409 MiB, 10240 MiB, 69, 318.06 W
2025/12/18 16:31:29.271, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5408 MiB, 10240 MiB, 69, 319.22 W
2025/12/18 16:31:30.272, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5388 MiB, 10240 MiB, 69, 318.23 W
2025/12/18 16:31:31.272, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5375 MiB, 10240 MiB, 69, 318.66 W
